English,Bislama,Pijin,Tok Pisin,Torres Creole
blood,blad,blad,blut,blad
bone,bun,bon,bun,bon
breast,titi/susu,susu/tutu,susu,susu
come,kam,kam/kakam,kam,kam
die,ded/matemate,dae/kikim baket,dai,ded
dog,dog/ovon,dogi,dok,dog
drink,drin,drinkim,drin,drin
ear,sore/dalinan,ia,yau/ia,talina
hand,han,am/han,han,an
hear,harem/arem,herem,harim,lesen
i,mi,mi,mi,ay
louse,kuti,laos,laus,laus
mountain,hil,hil/maonden,maunten,il
night,nat/namb~on,dak/naet/tudak,nait,nait
nose,nus,nos,nus,nos
one,wan,wan,wan,wan
person,man/fala,man,man,age/kole/agey
see,lasiri/luk,luk,lukim,luk
skin,skin,skin,skin,skin
star,sita,sta,sta,sta
stone,ston,ston,ston,ston
sun,san,san,san,san
tongue,tan,tan,tan,tan
tooth,tut,titi,tit,tit
tree,wud/tri,tri,diwai,tri
two,tu,tu/tufala,tu,tu
water,wota,wata,wara,wata
we,yumi,mifala,yumi/mipela,mipla
you,yu,iu,yu/yupela,yu
